לוח,מהדורה,נספח,אוכלוסייה,משפחת מדדים,רמה גאוגרפית,פילוח מגדרי,שורות,עמודות,כיסוי,חסרות,התאמות fuzzy,שם הלוח
103,2023–2024,ז,עצמאים שאינם שכירים,משך העבודה,מועצה אזורית,כן,179,16,4/4,,,"משך העבודה של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית), לפי מועצה איזורית ומין, 2024-2023"
104,2023–2024,ז,עצמאים שאינם שכירים,משך העבודה,מחוז ונפה,כן,71,17,,,,"משך העבודה של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית), לפי מחוז, נפה ומין, 2024-2023"
38,2023–2024,ג,שכירים · שכירה בלבד,משך העבודה,"יישוב (2,000+)",כן,872,16,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"משך העבודה של שכירים (הכנסה מעבודה שכירה בלבד), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
39,2023–2024,ג,שכירים · שכירה בלבד,משך העבודה,מועצה אזורית,כן,173,16,4/4,,,"משך העבודה של שכירים (הכנסה מעבודה שכירה בלבד), לפי מועצה איזורית ומין, 2024-2023"
40,2023–2024,ג,שכירים · שכירה בלבד,משך העבודה,מחוז ונפה,כן,71,17,,,,"משך העבודה של שכירים (הכנסה מעבודה שכירה בלבד), לפי מחוז, נפה ומין, 2024-2023"
22,2023–2024,ב,שכירים · שכירה ועצמאית,משך העבודה,"יישוב (2,000+)",כן,872,16,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"משך העבודה של שכירים (הכנסה מעבודה שכירה ועצמאית), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
23,2023–2024,ב,שכירים · שכירה ועצמאית,משך העבודה,מועצה אזורית,כן,173,16,4/4,,,"משך העבודה של שכירים (הכנסה מעבודה שכירה ועצמאית), לפי מועצה איזורית ומין, 2024-2023"
24,2023–2024,ב,שכירים · שכירה ועצמאית,משך העבודה,מחוז ונפה,כן,71,17,,,,"משך העבודה של שכירים (הכנסה מעבודה שכירה ועצמאית), לפי מחוז, נפה ומין, 2024-2023"
54,2023–2024,ד,שכירים שאינם עצמאים,משך העבודה,"יישוב (2,000+)",כן,872,16,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"משך העבודה של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
55,2023–2024,ד,שכירים שאינם עצמאים,משך העבודה,מועצה אזורית,כן,173,16,4/4,,,"משך העבודה של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה), לפי מועצה איזורית ומין, 2024-2023"
56,2023–2024,ד,שכירים שאינם עצמאים,משך העבודה,מחוז ונפה,כן,71,17,,,,"משך העבודה של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה), לפי מחוז, נפה ומין, 2024-2023"
228,?,—,כלל המבוטחים,סוג המבוטחים,מועצה אזורית,לא,59,13,4/4,,,"סוג המבוטחים לפי מועצה אזורית, 2016"
229,?,—,כלל המבוטחים,סוג המבוטחים,מועצה אזורית,לא,59,13,4/4,,,"סוג המבוטחים לפי מועצה אזורית, 2017"
230,?,—,כלל המבוטחים,סוג המבוטחים,מועצה אזורית,לא,59,13,4/4,,,"סוג המבוטחים לפי מועצה אזורית, 2018"
231,?,—,כלל המבוטחים,סוג המבוטחים,מועצה אזורית,לא,59,9,4/4,,,"סוג המבוטחים לפי מועצה אזורית, 2019"
232,?,—,כלל המבוטחים,סוג המבוטחים,מועצה אזורית,לא,59,9,4/4,,,"סוג המבוטחים לפי מועצה אזורית, 2020"
233,?,—,כלל המבוטחים,סוג המבוטחים,מועצה אזורית,לא,59,9,4/4,,,"סוג המבוטחים לפי מועצה אזורית, 2021"
234,?,—,כלל המבוטחים,סוג המבוטחים,מועצה אזורית,לא,59,9,4/4,,,"סוג המבוטחים לפי מועצה אזורית, 2022"
235,?,—,כלל המבוטחים,סוג המבוטחים,מחוז ונפה,לא,25,14,,,,"סוג המבוטחים לפי מחוז ונפה, 2016"
236,?,—,כלל המבוטחים,סוג המבוטחים,מחוז ונפה,לא,25,14,,,,"סוג המבוטחים לפי מחוז ונפה, 2017"
237,?,—,כלל המבוטחים,סוג המבוטחים,מחוז ונפה,לא,25,14,,,,"סוג המבוטחים לפי מחוז ונפה, 2018"
238,?,—,כלל המבוטחים,סוג המבוטחים,מחוז ונפה,לא,25,10,,,,"סוג המבוטחים לפי מחוז ונפה, 2019"
239,?,—,כלל המבוטחים,סוג המבוטחים,מחוז ונפה,לא,25,10,,,,"סוג המבוטחים לפי מחוז ונפה, 2020"
240,?,—,כלל המבוטחים,סוג המבוטחים,מחוז ונפה,לא,25,10,,,,"סוג המבוטחים לפי מחוז ונפה, 2021"
241,?,—,כלל המבוטחים,סוג המבוטחים,מחוז ונפה,לא,25,10,,,,"סוג המבוטחים לפי מחוז ונפה, 2022"
ישובים מעל 2000 תושבים,2023–2024,א,כלל העובדים,התפלגות קבוצת הכנסה,"יישוב (2,000+)",כן,872,20,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"קבוצת ההכנסה של כלל העובדים (ממוצע לחודש בשנה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
14,2023–2024,א,כלל העובדים,התפלגות קבוצת הכנסה,מועצה אזורית,כן,173,20,4/4,,,"קבוצת ההכנסה של כלל העובדים (ממוצע לחודש בשנה), לפי מועצה איזורית ומין, 2024-2023"
16,2023–2024,א,כלל העובדים,התפלגות קבוצת הכנסה,מחוז ונפה,כן,71,21,,,,"קבוצת ההכנסה של כלל העובדים (ממוצע לחודש בשנה), לפי מחוז, נפה ומין, 2024-2023"
11,2023–2024,א,כלל העובדים,התפלגות קבוצת הכנסה,"יישוב (2,000+)",כן,872,20,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"קבוצת ההכנסה של כלל העובדים (ממוצע לחודש עבודה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
13,2023–2024,א,כלל העובדים,התפלגות קבוצת הכנסה,מועצה אזורית,כן,173,20,4/4,,,"קבוצת ההכנסה של כלל העובדים (ממוצע לחודש עבודה), לפי מועצה איזורית ומין, 2024-2023"
15,2023–2024,א,כלל העובדים,התפלגות קבוצת הכנסה,מחוז ונפה,כן,71,21,,,,"קבוצת ההכנסה של כלל העובדים (ממוצע לחודש עבודה), לפי מחוז, נפה ומין, 2024-2023"
