לוח,מהדורה,נספח,אוכלוסייה,משפחת מדדים,רמה גאוגרפית,פילוח מגדרי,שורות,עמודות,כיסוי,חסרות,התאמות fuzzy,שם הלוח
44,2023–2024,ג,שכירים · שכירה בלבד,התפלגות קבוצת הכנסה,"יישוב (2,000+)",כן,872,20,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה בלבד, ממוצע לחודש בשנה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
46,2023–2024,ג,שכירים · שכירה בלבד,התפלגות קבוצת הכנסה,מועצה אזורית,כן,173,20,4/4,,,"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה בלבד, ממוצע לחודש בשנה), לפי מועצה איזורית ומין, 2024-2023"
48,2023–2024,ג,שכירים · שכירה בלבד,התפלגות קבוצת הכנסה,מחוז ונפה,כן,71,21,,,,"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה בלבד, ממוצע לחודש בשנה), לפי מחוז, נפה ומין, 2024-2023"
43,2023–2024,ג,שכירים · שכירה בלבד,התפלגות קבוצת הכנסה,"יישוב (2,000+)",כן,872,20,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה בלבד, ממוצע לחודש עבודה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
45,2023–2024,ג,שכירים · שכירה בלבד,התפלגות קבוצת הכנסה,מועצה אזורית,כן,173,20,4/4,,,"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה בלבד, ממוצע לחודש עבודה), לפי מועצה איזורית ומין, 2024-2023"
47,2023–2024,ג,שכירים · שכירה בלבד,התפלגות קבוצת הכנסה,מחוז ונפה,כן,71,21,,,,"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה בלבד, ממוצע לחודש עבודה), לפי מחוז, נפה ומין, 2024-2023"
28,2023–2024,ב,שכירים · שכירה ועצמאית,התפלגות קבוצת הכנסה,"יישוב (2,000+)",כן,872,20,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש בשנה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
30,2023–2024,ב,שכירים · שכירה ועצמאית,התפלגות קבוצת הכנסה,מועצה אזורית,כן,173,20,4/4,,,"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש בשנה), לפי מועצה איזורית ומין, 2024-2023"
32,2023–2024,ב,שכירים · שכירה ועצמאית,התפלגות קבוצת הכנסה,מחוז ונפה,כן,71,21,,,,"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש בשנה), לפי מחוז, נפה ומין, 2024-2023"
27,2023–2024,ב,שכירים · שכירה ועצמאית,התפלגות קבוצת הכנסה,"יישוב (2,000+)",כן,872,20,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש עבודה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
29,2023–2024,ב,שכירים · שכירה ועצמאית,התפלגות קבוצת הכנסה,מועצה אזורית,כן,173,20,4/4,,,"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש עבודה), לפי מועצה איזורית ומין, 2024-2023"
31,2023–2024,ב,שכירים · שכירה ועצמאית,התפלגות קבוצת הכנסה,מחוז ונפה,כן,71,21,,,,"קבוצת ההכנסה של שכירים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש עבודה), לפי מחוז, נפה ומין, 2024-2023"
60,2023–2024,ד,שכירים שאינם עצמאים,התפלגות קבוצת הכנסה,"יישוב (2,000+)",כן,872,20,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"קבוצת ההכנסה של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה, ממוצע לחודש בשנה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
62,2023–2024,ד,שכירים שאינם עצמאים,התפלגות קבוצת הכנסה,מועצה אזורית,כן,173,20,4/4,,,"קבוצת ההכנסה של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה, ממוצע לחודש בשנה), לפי מועצה איזורית ומין, 2024-2023"
64,2023–2024,ד,שכירים שאינם עצמאים,התפלגות קבוצת הכנסה,מחוז ונפה,כן,71,21,,,,"קבוצת ההכנסה של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה, ממוצע לחודש בשנה), לפי מחוז, נפה ומין, 2024-2023"
59,2023–2024,ד,שכירים שאינם עצמאים,התפלגות קבוצת הכנסה,"יישוב (2,000+)",כן,872,20,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"קבוצת ההכנסה של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה, ממוצע לחודש עבודה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
61,2023–2024,ד,שכירים שאינם עצמאים,התפלגות קבוצת הכנסה,מועצה אזורית,כן,173,20,4/4,,,"קבוצת ההכנסה של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה, ממוצע לחודש עבודה), לפי מועצה איזורית ומין, 2024-2023"
63,2023–2024,ד,שכירים שאינם עצמאים,התפלגות קבוצת הכנסה,מחוז ונפה,כן,71,21,,,,"קבוצת ההכנסה של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה, ממוצע לחודש עבודה), לפי מחוז, נפה ומין, 2024-2023"
2,2023–2024,א,כלל העובדים,שכר ממוצע וחציוני,"יישוב (2,000+)",כן,872,17,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
17,2016,א,כלל העובדים,שכר ממוצע וחציוני,"יישוב (2,000+)",לא,275,6,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי יישוב, 2016 (יישובים עם לפחות 2,000 תושבים)"
18,2017,א,כלל העובדים,שכר ממוצע וחציוני,"יישוב (2,000+)",לא,275,6,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי יישוב, 2017 (יישובים עם לפחות 2,000 תושבים)"
19,2018,א,כלל העובדים,שכר ממוצע וחציוני,"יישוב (2,000+)",לא,275,10,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי יישוב, 2018 (יישובים עם לפחות 2,000 תושבים)"
20,2019,א,כלל העובדים,שכר ממוצע וחציוני,"יישוב (2,000+)",לא,275,10,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי יישוב, 2019 (יישובים עם לפחות 2,000 תושבים)"
21,2020,א,כלל העובדים,שכר ממוצע וחציוני,"יישוב (2,000+)",לא,275,6,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי יישוב, 2020 (יישובים עם לפחות 2,000 תושבים)"
22,2021,א,כלל העובדים,שכר ממוצע וחציוני,"יישוב (2,000+)",לא,275,6,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי יישוב, 2021 (יישובים עם לפחות 2,000 תושבים)"
23,2022,א,כלל העובדים,שכר ממוצע וחציוני,"יישוב (2,000+)",לא,275,19,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי יישוב, 2022 (יישובים עם לפחות 2,000 תושבים)"
31,2016,א,כלל העובדים,שכר ממוצע וחציוני,"יישוב (2,000+)",כן,277,11,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי מגדר ולפי יישוב, 2016 (יישובים עם לפחות 2,000 תושבים)"
32,2017,א,כלל העובדים,שכר ממוצע וחציוני,"יישוב (2,000+)",כן,277,11,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי מגדר ולפי יישוב, 2017 (יישובים עם לפחות 2,000 תושבים)"
33,2018,א,כלל העובדים,שכר ממוצע וחציוני,"יישוב (2,000+)",כן,281,19,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי מגדר ולפי יישוב, 2018 (יישובים עם לפחות 2,000 תושבים)"
34,2019,א,כלל העובדים,שכר ממוצע וחציוני,"יישוב (2,000+)",כן,277,11,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי מגדר ולפי יישוב, 2019 (יישובים עם לפחות 2,000 תושבים)"
35,2020,א,כלל העובדים,שכר ממוצע וחציוני,"יישוב (2,000+)",כן,277,11,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי מגדר ולפי יישוב, 2020 (יישובים עם לפחות 2,000 תושבים)"
36,2021,א,כלל העובדים,שכר ממוצע וחציוני,"יישוב (2,000+)",כן,277,11,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי מגדר ולפי יישוב, 2021 (יישובים עם לפחות 2,000 תושבים)"
37,2022,א,כלל העובדים,שכר ממוצע וחציוני,"יישוב (2,000+)",כן,277,11,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי מגדר ולפי יישוב, 2022 (יישובים עם לפחות 2,000 תושבים)"
3,2023–2024,א,כלל העובדים,שכר ממוצע וחציוני,מועצה אזורית,כן,173,17,4/4,,,"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי מועצה איזורית ומין, 2024-2023"
4,2023–2024,א,כלל העובדים,שכר ממוצע וחציוני,מחוז ונפה,כן,71,18,,,,"שכר ממוצע וחציוני, חודשי ושנתי של כלל העובדים, לפי מחוז, נפה ומין, 2024-2023"
115,2023–2024,ח,שכיר וגם עצמאי,שכר ממוצע וחציוני,מועצה אזורית,כן,171,17,4/4,,,"שכר ממוצע וחציוני, חודשי ושנתי של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי מועצה איזורית ומין, 2024-2023"
116,2023–2024,ח,שכיר וגם עצמאי,שכר ממוצע וחציוני,מחוז ונפה,כן,71,18,,,,"שכר ממוצע וחציוני, חודשי ושנתי של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי מחוז, נפה ומין, 2024-2023"
82,2023–2024,ו,עצמאים · עצמאית בלבד,שכר ממוצע וחציוני,"יישוב (2,000+)",כן,866,17,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של עצמאים (הכנסה מעבודה עצמאית בלבד), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
83,2023–2024,ו,עצמאים · עצמאית בלבד,שכר ממוצע וחציוני,מועצה אזורית,כן,173,17,4/4,,,"שכר ממוצע וחציוני, חודשי ושנתי של עצמאים (הכנסה מעבודה עצמאית בלבד), לפי מועצה איזורית ומין, 2024-2023"
84,2023–2024,ו,עצמאים · עצמאית בלבד,שכר ממוצע וחציוני,מחוז ונפה,כן,71,18,,,,"שכר ממוצע וחציוני, חודשי ושנתי של עצמאים (הכנסה מעבודה עצמאית בלבד), לפי מחוז, נפה ומין, 2024-2023"
66,2023–2024,ה,עצמאים · עצמאית ושכירה,שכר ממוצע וחציוני,"יישוב (2,000+)",כן,866,17,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של עצמאים (הכנסה מעבודה עצמאית ושכירה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
67,2023–2024,ה,עצמאים · עצמאית ושכירה,שכר ממוצע וחציוני,מועצה אזורית,כן,173,17,4/4,,,"שכר ממוצע וחציוני, חודשי ושנתי של עצמאים (הכנסה מעבודה עצמאית ושכירה), לפי מועצה איזורית ומין, 2024-2023"
68,2023–2024,ה,עצמאים · עצמאית ושכירה,שכר ממוצע וחציוני,מחוז ונפה,כן,71,18,,,,"שכר ממוצע וחציוני, חודשי ושנתי של עצמאים (הכנסה מעבודה עצמאית ושכירה), לפי מחוז, נפה ומין, 2024-2023"
98,2023–2024,ז,עצמאים שאינם שכירים,שכר ממוצע וחציוני,"יישוב (2,000+)",כן,865,17,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
99,2023–2024,ז,עצמאים שאינם שכירים,שכר ממוצע וחציוני,מועצה אזורית,כן,173,17,4/4,,,"שכר ממוצע וחציוני, חודשי ושנתי של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית), לפי מועצה איזורית ומין, 2024-2023"
100,2023–2024,ז,עצמאים שאינם שכירים,שכר ממוצע וחציוני,מחוז ונפה,כן,71,18,,,,"שכר ממוצע וחציוני, חודשי ושנתי של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית), לפי מחוז, נפה ומין, 2024-2023"
34,2023–2024,ג,שכירים · שכירה בלבד,שכר ממוצע וחציוני,"יישוב (2,000+)",כן,872,17,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של שכירים (הכנסה מעבודה שכירה בלבד), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
35,2023–2024,ג,שכירים · שכירה בלבד,שכר ממוצע וחציוני,מועצה אזורית,כן,173,17,4/4,,,"שכר ממוצע וחציוני, חודשי ושנתי של שכירים (הכנסה מעבודה שכירה בלבד), לפי מועצה איזורית ומין, 2024-2023"
36,2023–2024,ג,שכירים · שכירה בלבד,שכר ממוצע וחציוני,מחוז ונפה,כן,71,18,,,,"שכר ממוצע וחציוני, חודשי ושנתי של שכירים (הכנסה מעבודה שכירה בלבד), לפי מחוז, נפה ומין, 2024-2023"
18,2023–2024,ב,שכירים · שכירה ועצמאית,שכר ממוצע וחציוני,"יישוב (2,000+)",כן,872,17,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של שכירים (הכנסה מעבודה שכירה ועצמאית), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
19,2023–2024,ב,שכירים · שכירה ועצמאית,שכר ממוצע וחציוני,מועצה אזורית,כן,173,17,4/4,,,"שכר ממוצע וחציוני, חודשי ושנתי של שכירים (הכנסה מעבודה שכירה ועצמאית), לפי מועצה איזורית ומין, 2024-2023"
20,2023–2024,ב,שכירים · שכירה ועצמאית,שכר ממוצע וחציוני,מחוז ונפה,כן,71,18,,,,"שכר ממוצע וחציוני, חודשי ושנתי של שכירים (הכנסה מעבודה שכירה ועצמאית), לפי מחוז, נפה ומין, 2024-2023"
50,2023–2024,ד,שכירים שאינם עצמאים,שכר ממוצע וחציוני,"יישוב (2,000+)",כן,872,17,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
51,2023–2024,ד,שכירים שאינם עצמאים,שכר ממוצע וחציוני,מועצה אזורית,כן,173,17,4/4,,,"שכר ממוצע וחציוני, חודשי ושנתי של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה), לפי מועצה איזורית ומין, 2024-2023"
52,2023–2024,ד,שכירים שאינם עצמאים,שכר ממוצע וחציוני,מחוז ונפה,כן,71,18,,,,"שכר ממוצע וחציוני, חודשי ושנתי של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה), לפי מחוז, נפה ומין, 2024-2023"
58,2016–2022,ב,שכירים · שכירה ועצמאית,שכר ממוצע בלבד,מועצה אזורית,לא,59,15,4/4,,,"שכר ממוצע לחודש בשנה של השכירים (הכנסה מעבודה שכירה ועצמאית), לפי מועצה אזורית, 2022-2016"
60,2016–2022,ב,שכירים · שכירה ועצמאית,שכר ממוצע בלבד,מחוז ונפה,לא,25,16,,,,"שכר ממוצע לחודש בשנה של השכירים (הכנסה מעבודה שכירה ועצמאית), לפי מחוז ונפה, 2022-2016"
81,2016–2022,ג,שכירים · שכירה בלבד,שכר ממוצע בלבד,מועצה אזורית,לא,59,15,4/4,,,"שכר ממוצע לחודש בשנה של השכירים (הכנסה מעבודה שכירה), לפי מועצה אזורית, 2022-2016"
83,2016–2022,ג,שכירים · שכירה בלבד,שכר ממוצע בלבד,מחוז ונפה,לא,59,16,,,,"שכר ממוצע לחודש בשנה של השכירים (הכנסה מעבודה שכירה), לפי מחוז ונפה, 2022-2016"
4,2016–2022,א,כלל העובדים,שכר ממוצע בלבד,"יישוב (2,000+)",לא,277,15,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע לחודש בשנה של כלל העובדים, לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)"
7,2016–2022,א,כלל העובדים,שכר ממוצע בלבד,מועצה אזורית,לא,59,15,4/4,,,"שכר ממוצע לחודש בשנה של כלל העובדים, לפי מועצה אזורית, 2022-2016"
9,2016–2022,א,כלל העובדים,שכר ממוצע בלבד,מחוז ונפה,לא,49,16,,,,"שכר ממוצע לחודש בשנה של כלל העובדים, לפי מחוז ונפה, 2022-2016"
147,2016–2022,ו,עצמאים · עצמאית בלבד,שכר ממוצע בלבד,"יישוב (2,000+)",לא,278,15,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע לחודש בשנה של עצמאים (הכנסה מעבודה עצמאית), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)"
150,2016–2022,ו,עצמאים · עצמאית בלבד,שכר ממוצע בלבד,מועצה אזורית,לא,60,15,4/4,,,"שכר ממוצע לחודש בשנה של עצמאים (הכנסה מעבודה עצמאית), לפי מועצה אזורית, 2022-2016"
152,2016–2022,ו,עצמאים · עצמאית בלבד,שכר ממוצע בלבד,מחוז ונפה,לא,28,16,,,,"שכר ממוצע לחודש בשנה של עצמאים (הכנסה מעבודה עצמאית), לפי מחוז ונפה, 2022-2016"
124,2016–2022,ה,עצמאים · עצמאית ושכירה,שכר ממוצע בלבד,"יישוב (2,000+)",לא,275,15,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע לחודש בשנה של עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)"
127,2016–2022,ה,עצמאים · עצמאית ושכירה,שכר ממוצע בלבד,מועצה אזורית,לא,59,15,4/4,,,"שכר ממוצע לחודש בשנה של עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי מועצה אזורית, 2022-2016"
129,2016–2022,ה,עצמאים · עצמאית ושכירה,שכר ממוצע בלבד,מחוז ונפה,לא,25,16,,,,"שכר ממוצע לחודש בשנה של עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי מחוז ונפה, 2022-2016"
170,2016–2022,ז,עצמאים שאינם שכירים,שכר ממוצע בלבד,"יישוב (2,000+)",לא,276,15,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע לחודש בשנה של עצמאים שאינם שכירים (הכנסה מעבודה עצמאית), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)"
173,2016–2022,ז,עצמאים שאינם שכירים,שכר ממוצע בלבד,מועצה אזורית,לא,63,15,4/4,,,"שכר ממוצע לחודש בשנה של עצמאים שאינם שכירים (הכנסה מעבודה עצמאית), לפי מועצה אזורית, 2022-2016"
175,2016–2022,ז,עצמאים שאינם שכירים,שכר ממוצע בלבד,מחוז ונפה,לא,30,16,,,,"שכר ממוצע לחודש בשנה של עצמאים שאינם שכירים (הכנסה מעבודה עצמאית), לפי מחוז ונפה, 2022-2016"
55,2016–2022,ב,שכירים · שכירה ועצמאית,שכר ממוצע בלבד,"יישוב (2,000+)",לא,275,15,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע לחודש בשנה של שכירים (הכנסה מעבודה שכירה ועצמאית), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)"
78,2016–2022,ג,שכירים · שכירה בלבד,שכר ממוצע בלבד,"יישוב (2,000+)",לא,276,15,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע לחודש בשנה של שכירים (הכנסה מעבודה שכירה), 2022-2016 (יישובים עם לפחות 2,000 תושבים)"
101,2016–2022,ד,שכירים שאינם עצמאים,שכר ממוצע בלבד,"יישוב (2,000+)",לא,277,15,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע לחודש בשנה של שכירים שאינם עצמאים (הכנסה מעבודה שכירה), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)"
104,2016–2022,ד,שכירים שאינם עצמאים,שכר ממוצע בלבד,מועצה אזורית,לא,61,15,4/4,,,"שכר ממוצע לחודש בשנה של שכירים שאינם עצמאים (הכנסה מעבודה שכירה), לפי מועצה אזורית, 2022-2016"
106,2016–2022,ד,שכירים שאינם עצמאים,שכר ממוצע בלבד,מחוז ונפה,לא,26,16,,,,"שכר ממוצע לחודש בשנה של שכירים שאינם עצמאים (הכנסה מעבודה שכירה), לפי מחוז ונפה, 2022-2016"
193,2016–2022,ח,שכיר וגם עצמאי,שכר ממוצע בלבד,"יישוב (2,000+)",לא,277,15,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע לחודש בשנה של שכירים שהינם גם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)"
