anaf,n,months,wage,rashut,ענף,ratio,w_nat
43,141,8.0,5133.4,מסעדה,עבודות בנייה מיוחדות,48.2,10639.2
46,56,9.4,7381.0,מסעדה,"מסחר סיטוני, פרט לכלי רכב מנועיים ולאופנועים",50.4,14657.0
47,160,9.4,5237.9,מסעדה,"מכירה קמעונית, פרט לכלי רכב מנועיים ולאופנועים",68.4,7653.0
56,59,7.9,3624.2,מסעדה,שירותי מזון ומשקאות,68.4,5301.7
83,97,10.8,10175.2,מסעדה,מינהל מקומי,88.2,11536.4
85,143,10.4,11902.8,מסעדה,חינוך,106.6,11163.3
86,86,10.4,15453.9,מסעדה,שירותי בריאות,95.9,16108.9
87+88,170,9.4,3358.0,מסעדה,מגורים טיפוליים +,64.9,5177.2
22,104,10.0,11126.7,ע'ג'ר,ייצור מוצרי גומי ופלסטיק,77.9,14290.8
47,55,7.5,6134.8,ע'ג'ר,"מכירה קמעונית, פרט לכלי רכב מנועיים ולאופנועים",80.2,7653.0
78,61,8.2,5779.4,ע'ג'ר,שירותי תעסוקה,94.8,6099.3
83,57,11.1,13304.2,ע'ג'ר,מינהל מקומי,115.3,11536.4
85,122,9.9,14442.9,ע'ג'ר,חינוך,129.4,11163.3
87+88,59,9.3,3464.5,ע'ג'ר,מגורים טיפוליים +,66.9,5177.2
1,133,8.4,6456.0,עין קנייא,גידולים צמחיים,75.8,8514.2
47,60,7.5,6293.4,עין קנייא,"מכירה קמעונית, פרט לכלי רכב מנועיים ולאופנועים",82.2,7653.0
85,85,10.5,13018.1,עין קנייא,חינוך,116.6,11163.3
86,53,10.4,13785.7,עין קנייא,שירותי בריאות,85.6,16108.9
87+88,102,9.4,3253.4,עין קנייא,מגורים טיפוליים +,62.8,5177.2
1,1042,8.7,8404.3,הגליל העליון,גידולים צמחיים,98.7,8514.2
10,138,8.8,12474.1,הגליל העליון,ייצור מוצרי מזון,117.6,10603.5
11+12,75,9.6,15644.3,הגליל העליון,ייצור משקאות +,106.7,14655.8
13+14+15,80,10.8,17898.6,הגליל העליון,ייצור טקסטיל +,162.5,11017.6
19+20,53,10.6,21759.2,הגליל העליון,ייצור מוצרי נפט מזוקק +,107.7,20195.7
2+3+4,74,10.0,13668.6,הגליל העליון,ייעור וכריתת עצים +,101.3,13491.9
22,133,10.7,20734.5,הגליל העליון,ייצור מוצרי גומי ופלסטיק,145.1,14290.8
23+24+25,59,10.6,17585.3,הגליל העליון,ייצור מוצרים אחרים על בסיס מינרלים אל-מתכתיים +,114.6,15346.6
26,114,11.1,30198.0,הגליל העליון,"ייצור מחשבים, מכשור אלקטרוני ואופטי",116.2,25982.4
27+28,176,10.6,17636.8,הגליל העליון,ייצור ציוד חשמלי +,89.0,19812.5
29+30,65,11.1,24294.5,הגליל העליון,ייצור כלי רכב מנועיים ונגררים +,97.7,24878.6
31+32+33+34,231,10.5,19501.4,הגליל העליון,ייצור רהיטים +,136.7,14260.9
35+36+37+38+39,55,11.5,26240.3,הגליל העליון,"אספקת חשמל, גז, קיטור ומיזוג אוויר (קירור) +",113.3,23164.3
43,92,9.5,13770.2,הגליל העליון,עבודות בנייה מיוחדות,129.4,10639.2
46,188,9.8,17893.2,הגליל העליון,"מסחר סיטוני, פרט לכלי רכב מנועיים ולאופנועים",122.1,14657.0
47,257,8.5,8791.3,הגליל העליון,"מכירה קמעונית, פרט לכלי רכב מנועיים ולאופנועים",114.9,7653.0
49,69,10.7,12004.9,הגליל העליון,הובלה יבשתית והובלה באמצעות קווי צינורות,102.4,11726.1
55,108,8.4,11392.2,הגליל העליון,שירותי אירוח,115.9,9830.5
56,482,7.8,5870.1,הגליל העליון,שירותי מזון ומשקאות,110.7,5301.7
62+63,348,10.6,28539.6,הגליל העליון,"תכנות מחשבים, ייעוץ בתחום המחשבים ושירותים נלווים אחרים +",89.2,31994.1
64+65+66,131,10.8,21023.5,הגליל העליון,"שירותים פיננסיים, פרט לביטוח ולקרנות פנסיה +",96.1,21885.1
69,73,10.4,15327.3,הגליל העליון,שירותים משפטיים ושירותי חשבונאות,114.1,13434.3
70,384,9.1,10232.1,הגליל העליון,שירותי משרדים ראשיים; שירותי ייעוץ ניהולי,60.9,16796.8
71,131,10.4,15398.8,הגליל העליון,שירותי אדריכלות והנדסה; בדיקות טכניות וניתוח נתונים טכניים,99.1,15541.5
72,194,10.4,21323.4,הגליל העליון,מחקר מדעי ופיתוח,62.7,34019.0
73+74+75,123,9.1,12793.9,הגליל העליון,פרסום וחקר שווקים +,100.2,12762.2
