anaf,n_nat,mon_nat,w_nat,n_eg,mon_eg,w_eg,ענף,s_nat,s_eg,c_mix,c_pay,tot,w_ratio
27+28,31149,11.071206138238788,19812.468090129056,1003.0,10.587238285144567,13946.680998526805,ייצור ציוד חשמלי +,0.007265066108393135,0.012459936892842059,87.6872086542569,-57.85133399323053,29.835874661026374,70.39345595451232
29+30,25330,11.243308330043426,24878.623172115156,310.0,10.783870967741935,18554.64382302286,ייצור כלי רכב מנועיים ונגררים +,0.0059078662084047035,0.0038510273547168873,-44.66761554909827,-30.85752068158534,-75.52513623068361,74.58066989743854
31+32+33+34,33825,10.46711012564671,14260.87515193954,1185.0,10.31223628691983,13969.45321509245,ייצור רהיטים +,0.007889205467796648,0.014720862630127457,96.42996249179234,-3.294534918670815,93.13542757312152,97.95649331655879
35+36+37+38+39,29904,10.894529159978598,23164.26117754931,622.0,10.543408360128618,18698.018989794586,"אספקת חשמל, גז, קיטור ומיזוג אוויר (קירור) +",0.0069746873705540564,0.007726900047206142,15.744668907718632,-32.83042497608231,-17.08575606836368,80.71925474539466
41,92998,9.496075184412568,12807.70428954927,1871.0,8.813468733297702,9026.743067423102,בניית מבנים ובניינים,0.02169047539081013,0.023242813486049344,16.947222210361677,-84.9455114129994,-67.99828920263772,70.47900906635292
42,38275,10.013690398432397,13679.769358332793,888.0,9.587837837837839,10499.975141862644,עבודות הנדסה אזרחית,0.008927105374129097,0.011031329970930955,25.439806560847842,-31.73185864000768,-6.292052079159838,76.7554983335064
43,120240,9.587125748502993,10639.244430475186,1853.0,8.91958985429034,8825.908899982007,עבודות בנייה מיוחדות,0.028044288705036776,0.02301920544609804,-48.907008066778,-46.297624127691705,-95.2046321944697,82.956162513768
45,59257,10.388038543969488,12610.26302142478,682.0,10.127565982404692,11508.309547506922,מסחר סיטוני וקמעוני בכלי רכב מנועיים ובאופנועים ותיקונם,0.013820861741470096,0.008472260180377153,-64.50031744676077,-12.282991573126965,-76.78330901988774,91.2614552761854
46,176955,10.36757932807776,14656.96128683559,1947.0,9.47919876733436,12135.579436506827,"מסחר סיטוני, פרט לכלי רכב מנועיים ולאופנועים",0.041272264702260336,0.02418693632139929,-228.8796782079488,-82.52382069903871,-311.4034989069875,82.79737661179888
47,354560,9.276195848375451,7652.971581250415,5760.0,8.668229166666666,6587.346506615038,"מכירה קמעונית, פרט לכלי רכב מנועיים ולאופנועים",0.08269613276162541,0.071554572784417,-79.32967903523934,-82.18670980503045,-161.51638884026977,86.07566925707486
49,105827,10.145123645194516,11726.054580316677,1826.0,10.241511500547645,10599.336500211797,הובלה יבשתית והובלה באמצעות קווי צינורות,0.02468265918818968,0.022683793386171085,-22.312730373779647,-26.6843192529813,-48.99704962676095,90.39132836720559
50+51+52+53,55035,10.523339692922686,17890.81444691166,516.0,9.753875968992247,14044.682055326242,הובלה ימית +,0.01283613962809131,0.00641009714527069,-102.60942861667505,-37.011787335075,-139.62121595175006,78.50219506217425
55,35888,9.316066651805617,9830.469235556446,1569.0,8.110898661567878,8110.0992787522055,שירותי אירוח,0.00837037119965369,0.019491167482421922,99.7567038223362,-23.966077049491044,75.79062677284516,82.49961506840665
56,257057,7.922950940841915,5301.655766087386,4569.0,7.5747428321295684,5066.09569840133,שירותי מזון ומשקאות,0.05995492948811243,0.056759174140972445,-16.566398590229113,-13.746591075392285,-30.312989665621398,95.55685849705971
58+59+60,17126,10.15310054887306,13482.881819068705,160.0,9.65,13263.559668335138,הוצאה לאור +,0.003994398605808881,0.001987627021789361,-26.836999375281405,-0.6559953631940827,-27.49299473847549,98.37332883520952
61,19419,10.878469540141099,18672.393292038545,291.0,10.536082474226804,13435.999365153753,שירותי תקשורת,0.004529208602487601,0.003614996645879401,-14.676938237338074,-21.323133450926107,-36.000071688264185,71.95649296270199
62+63,232351,10.782079698387353,31994.059197040733,1713.0,10.555166374781086,24194.150245364985,"תכנות מחשבים, ייעוץ בתחום המחשבים ושירותים נלווים אחרים +",0.054192602502528275,0.021280031802032348,-924.6492079037255,-294.3398379593463,-1218.9890458630719,75.62075851757756
64+65+66,118854,10.826854796641257,21885.138189236306,1064.0,10.335526315789474,15860.418300350446,"שירותים פיננסיים, פרט לביטוח ולקרנות פנסיה +",0.02772102370050267,0.013217719694899252,-273.71764031457684,-123.3222307801363,-397.03987109471313,72.47118187332727
68,35742,10.292373118460075,15393.53173292475,393.0,10.173027989821882,12993.54014747622,"פעילויות בנדל""ן",0.008336318753288626,0.004882108872270119,-49.02745209123184,-15.86205753710069,-64.88950962833252,84.40909060319626
69,77888,10.428294474116681,13434.29049578924,863.0,10.113557358053303,10199.90710740914,שירותים משפטיים ושירותי חשבונאות,0.018166280427959952,0.010720763248776367,-87.98441213541652,-46.71588710372318,-134.7002992391397,75.92441975708458
70,50931,10.040289803852271,16796.762150963976,1081.0,9.293246993524514,10678.46165957847,שירותי משרדים ראשיים; שירותי ייעוץ ניהולי,0.011878939354925382,0.013428905065964373,21.29282740473141,-77.42049847811886,-56.12767107338745,63.57452444467475
71,61923,10.566590765951261,15541.466761800155,1062.0,10.192090395480227,12675.172661169148,שירותי אדריכלות והנדסה; בדיקות טכניות וניתוח נתונים טכניים,0.014442668741533535,0.013192874357126886,-17.632498748827153,-39.60579707571214,-57.23829582453929,81.55711977149957
72,51640,10.897366382649109,34018.95838206371,822.0,10.371046228710462,20487.734416813266,מחקר מדעי ופיתוח,0.012044303632136552,0.010211433824442843,-49.951835774148876,-150.57368401839457,-200.52551979254343,60.22446127455595
73+74+75,46750,9.703486631016043,12762.187735647602,668.0,8.922155688622755,9978.73554978788,פרסום וחקר שווקים +,0.010903779914840896,0.008298342815970583,-29.625022595218688,-26.724095244111933,-56.34911783933062,78.18985080367588
77+79,26353,9.551891625241907,12539.606766873507,432.0,8.449074074074074,9568.467599440166,שירותי השכרה והחכרה +,0.006146466568894163,0.0053665929588312756,-8.620751883797917,-17.103451049908326,-25.724202933706245,76.30596219905121
