קובץ,משפחה,רמה_גאוגרפית,אוכלוסייה,מושג_הכנסה,פילוח_מגדר,שנים,מדדים,שורות,ישויות,נחלץ_בהצלחה,סיבת_כשל,מקור_בפועל
"משך העבודה של שכירים (הכנסה מעבודה שכירה ועצמאית), לפי מחוז, נפה ומין, 2024-2023",משך העבודה,נפה/מחוז,שכירים,מעבודה שכירה ועצמאית,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_workers",882,14,לא,דחיסה לא נתמכת/פגום,unified_all.csv
"משך העבודה של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",משך העבודה,יישוב,שכירים שאינם גם עצמאים,מעבודה שכירה,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_emp_only",12117,289,כן,,xlsx
"משך העבודה של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה), לפי מועצה איזורית ומין, 2024-2023",משך העבודה,מועצה אזורית,שכירים שאינם גם עצמאים,מעבודה שכירה,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_emp_only",2352,56,כן,,xlsx
"משך העבודה של שכירים שאינם גם עצמאים (הכנסה מעבודה שכירה), לפי מחוז, נפה ומין, 2024-2023",משך העבודה,נפה/מחוז,שכירים שאינם גם עצמאים,מעבודה שכירה,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_workers",882,14,לא,דחיסה לא נתמכת/פגום,unified_all.csv
"סוג המבוטחים לפי מועצה אזורית, 2016",סוג המבוטחים,מועצה אזורית,כלל העובדים,כל מקורות ההכנסה,לא,2016,"n_both,n_emp_only,n_self_only,n_workers,pct_both,pct_emp_only,pct_self_only",385,55,כן,,xlsx
"סוג המבוטחים לפי מועצה אזורית, 2017",סוג המבוטחים,מועצה אזורית,כלל העובדים,כל מקורות ההכנסה,לא,2017,"n_both,n_emp_only,n_self_only,n_workers,pct_both,pct_emp_only,pct_self_only",385,55,כן,,xlsx
"סוג המבוטחים לפי מועצה אזורית, 2018",סוג המבוטחים,מועצה אזורית,כלל העובדים,כל מקורות ההכנסה,לא,2018,"n_both,n_emp_only,n_self_only,n_workers,pct_both,pct_emp_only,pct_self_only",385,55,כן,,xlsx
"סוג המבוטחים לפי מועצה אזורית, 2019",סוג המבוטחים,מועצה אזורית,כלל העובדים,כל מקורות ההכנסה,לא,,,0,0,לא,דחיסה לא נתמכת/פגום,חסר
"סוג המבוטחים לפי מועצה אזורית, 2020",סוג המבוטחים,מועצה אזורית,כלל העובדים,כל מקורות ההכנסה,לא,2020,"n_both,n_emp_only,n_self_only,n_workers,pct_both,pct_emp_only,pct_self_only",385,55,כן,,xlsx
"סוג המבוטחים לפי מועצה אזורית, 2021",סוג המבוטחים,מועצה אזורית,כלל העובדים,כל מקורות ההכנסה,לא,2021,"n_both,n_emp_only,n_self_only,n_workers,pct_both,pct_emp_only,pct_self_only",385,55,כן,,xlsx
"סוג המבוטחים לפי מועצה אזורית, 2022",סוג המבוטחים,מועצה אזורית,כלל העובדים,כל מקורות ההכנסה,לא,2022,"n_both,n_emp_only,n_self_only,n_workers,pct_both,pct_emp_only,pct_self_only",385,55,כן,,xlsx
"סוג המבוטחים לפי מחוז ונפה, 2016",סוג המבוטחים,נפה/מחוז,כלל העובדים,כל מקורות ההכנסה,לא,2016,"n_both,n_emp_only,n_self_only,n_workers,pct_both,pct_emp_only,pct_self_only",147,15,כן,,xlsx
"סוג המבוטחים לפי מחוז ונפה, 2017",סוג המבוטחים,נפה/מחוז,כלל העובדים,כל מקורות ההכנסה,לא,,,0,0,לא,דחיסה לא נתמכת/פגום,חסר
"סוג המבוטחים לפי מחוז ונפה, 2018",סוג המבוטחים,נפה/מחוז,כלל העובדים,כל מקורות ההכנסה,לא,2018,"n_both,n_emp_only,n_self_only,n_workers,pct_both,pct_emp_only,pct_self_only",147,15,כן,,xlsx
"סוג המבוטחים לפי מחוז ונפה, 2019",סוג המבוטחים,נפה/מחוז,כלל העובדים,כל מקורות ההכנסה,לא,2019,"n_both,n_emp_only,n_self_only,n_workers,pct_both,pct_emp_only,pct_self_only",147,15,כן,,xlsx
"סוג המבוטחים לפי מחוז ונפה, 2020",סוג המבוטחים,נפה/מחוז,כלל העובדים,כל מקורות ההכנסה,לא,2020,"n_both,n_emp_only,n_self_only,n_workers,pct_both,pct_emp_only,pct_self_only",147,15,כן,,xlsx
"סוג המבוטחים לפי מחוז ונפה, 2021",סוג המבוטחים,נפה/מחוז,כלל העובדים,כל מקורות ההכנסה,לא,,,0,0,לא,דחיסה לא נתמכת/פגום,חסר
