קובץ,משפחה,רמה_גאוגרפית,אוכלוסייה,מושג_הכנסה,פילוח_מגדר,שנים,מדדים,שורות,ישויות,נחלץ_בהצלחה,סיבת_כשל,מקור_בפועל
"שכר ממוצע לחודש בשנה של שכירים (הכנסה מעבודה שכירה), 2022-2016 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע לחודש בשנה,יישוב,שכירים,מעבודה שכירה,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp,wage_year_mean",3794,271,כן,,xlsx
"שכר ממוצע לחודש בשנה של שכירים שאינם עצמאים (הכנסה מעבודה שכירה), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע לחודש בשנה,יישוב,שכירים שאינם עצמאים,מעבודה שכירה,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp_only,wage_year_mean",3794,271,כן,,xlsx
"שכר ממוצע לחודש בשנה של שכירים שאינם עצמאים (הכנסה מעבודה שכירה), לפי מועצה אזורית, 2022-2016",שכר ממוצע לחודש בשנה,מועצה אזורית,שכירים שאינם עצמאים,מעבודה שכירה,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp_only,wage_year_mean",770,55,כן,,xlsx
"שכר ממוצע לחודש בשנה של שכירים שאינם עצמאים (הכנסה מעבודה שכירה), לפי מחוז ונפה, 2022-2016",שכר ממוצע לחודש בשנה,נפה/מחוז,שכירים שאינם עצמאים,מעבודה שכירה,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp_only,wage_year_mean",294,15,כן,,xlsx
"שכר ממוצע לחודש בשנה של שכירים שהינם גם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע לחודש בשנה,יישוב,שכירים שהינם גם עצמאים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_both,wage_year_mean",3770,271,כן,,xlsx
"שכר ממוצע לחודש בשנה של שכירים שהינם גם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי מועצה אזורית, 2022-2016",שכר ממוצע לחודש בשנה,מועצה אזורית,שכירים שהינם גם עצמאים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_both,wage_year_mean",770,55,כן,,xlsx
"שכר ממוצע לחודש בשנה של שכירים שהינם גם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי מחוז ונפה, 2022-2016",שכר ממוצע לחודש בשנה,נפה/מחוז,שכירים שהינם גם עצמאים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_both,wage_year_mean",294,15,כן,,xlsx
"שכר ממוצע לחודש עבודה של השכירים (הכנסה מעבודה שכירה ועצמאית), לפי מועצה אזורית, 2022-2016",שכר ממוצע לחודש עבודה,מועצה אזורית,השכירים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp,wage_work_mean",770,55,כן,,xlsx
"שכר ממוצע לחודש עבודה של השכירים (הכנסה מעבודה שכירה ועצמאית), לפי מחוז ונפה, 2022-2016",שכר ממוצע לחודש עבודה,נפה/מחוז,השכירים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp,wage_work_mean",280,14,לא,דחיסה לא נתמכת/פגום,unified_all.csv
"שכר ממוצע לחודש עבודה של השכירים (הכנסה מעבודה שכירה), לפי מועצה אזורית, 2022-2016",שכר ממוצע לחודש עבודה,מועצה אזורית,השכירים,מעבודה שכירה,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp,wage_work_mean",770,55,כן,,xlsx
"שכר ממוצע לחודש עבודה של השכירים (הכנסה מעבודה שכירה), לפי מחוז ונפה, 2022-2016",שכר ממוצע לחודש עבודה,נפה/מחוז,השכירים,מעבודה שכירה,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp,wage_work_mean",294,15,כן,,xlsx
"שכר ממוצע לחודש עבודה של כלל העובדים, לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע לחודש עבודה,יישוב,כלל העובדים,כל מקורות ההכנסה,לא,"2016,2017,2018,2019,2020,2021,2022","n_workers,wage_work_mean",3794,271,כן,,xlsx
"שכר ממוצע לחודש עבודה של כלל העובדים, לפי מועצה אזורית, 2022-2016",שכר ממוצע לחודש עבודה,מועצה אזורית,כלל העובדים,כל מקורות ההכנסה,לא,"2016,2017,2018,2019,2020,2021,2022","n_workers,wage_work_mean",770,55,כן,,xlsx
"שכר ממוצע לחודש עבודה של כלל העובדים, לפי מחוז ונפה, 2022-2016",שכר ממוצע לחודש עבודה,נפה/מחוז,כלל העובדים,כל מקורות ההכנסה,לא,"2016,2017,2018,2019,2020,2021,2022","n_workers,wage_work_mean",294,15,כן,,xlsx
"שכר ממוצע לחודש עבודה של עצמאים (הכנסה מעבודה עצמאית), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע לחודש עבודה,יישוב,עצמאים,מעבודה עצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self,wage_work_mean",3792,271,כן,,xlsx
"שכר ממוצע לחודש עבודה של עצמאים (הכנסה מעבודה עצמאית), לפי מועצה אזורית, 2022-2016",שכר ממוצע לחודש עבודה,מועצה אזורית,עצמאים,מעבודה עצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self,wage_work_mean",770,55,כן,,xlsx
"שכר ממוצע לחודש עבודה של עצמאים (הכנסה מעבודה עצמאית), לפי מחוז ונפה, 2022-2016",שכר ממוצע לחודש עבודה,נפה/מחוז,עצמאים,מעבודה עצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self,wage_work_mean",294,15,כן,,xlsx
"שכר ממוצע לחודש עבודה של עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע לחודש עבודה,יישוב,עצמאים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self,wage_work_mean",3778,270,לא,דחיסה לא נתמכת/פגום,unified_all.csv
"שכר ממוצע לחודש עבודה של עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי מועצה אזורית, 2022-2016",שכר ממוצע לחודש עבודה,מועצה אזורית,עצמאים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self,wage_work_mean",770,55,כן,,xlsx
"שכר ממוצע לחודש עבודה של עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי מחוז ונפה, 2022-2016",שכר ממוצע לחודש עבודה,נפה/מחוז,עצמאים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self,wage_work_mean",294,15,כן,,xlsx
"שכר ממוצע לחודש עבודה של עצמאים שאינם שכירים (הכנסה מעבודה עצמאית), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע לחודש עבודה,יישוב,עצמאים שאינם שכירים,מעבודה עצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self_only,wage_work_mean",3788,271,כן,,xlsx
"שכר ממוצע לחודש עבודה של עצמאים שאינם שכירים (הכנסה מעבודה עצמאית), לפי מועצה אזורית, 2022-2016",שכר ממוצע לחודש עבודה,מועצה אזורית,עצמאים שאינם שכירים,מעבודה עצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self_only,wage_work_mean",770,55,כן,,xlsx
"שכר ממוצע לחודש עבודה של עצמאים שאינם שכירים (הכנסה מעבודה עצמאית), לפי מחוז ונפה, 2022-2016",שכר ממוצע לחודש עבודה,נפה/מחוז,עצמאים שאינם שכירים,מעבודה עצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self_only,wage_work_mean",294,15,כן,,xlsx
"שכר ממוצע לחודש עבודה של שכירים (הכנסה מעבודה שכירה ועצמאית), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע לחודש עבודה,יישוב,שכירים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp,wage_work_mean",3794,271,כן,,xlsx
"שכר ממוצע לחודש עבודה של שכירים (הכנסה מעבודה שכירה), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע לחודש עבודה,יישוב,שכירים,מעבודה שכירה,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp,wage_work_mean",3794,271,כן,,xlsx
"שכר ממוצע לחודש עבודה של שכירים שאינם עצמאים (הכנסה מעבודה שכירה), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע לחודש עבודה,יישוב,שכירים שאינם עצמאים,מעבודה שכירה,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp_only,wage_work_mean",3794,271,כן,,xlsx
"שכר ממוצע לחודש עבודה של שכירים שאינם עצמאים (הכנסה מעבודה שכירה), לפי מועצה אזורית, 2022-2016",שכר ממוצע לחודש עבודה,מועצה אזורית,שכירים שאינם עצמאים,מעבודה שכירה,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp_only,wage_work_mean",770,55,כן,,xlsx
"שכר ממוצע לחודש עבודה של שכירים שאינם עצמאים (הכנסה מעבודה שכירה), לפי מחוז ונפה, 2022-2016",שכר ממוצע לחודש עבודה,נפה/מחוז,שכירים שאינם עצמאים,מעבודה שכירה,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp_only,wage_work_mean",294,15,כן,,xlsx
"שכר ממוצע לחודש עבודה של שכירים שהינם גם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",שכר ממוצע לחודש עבודה,יישוב,שכירים שהינם גם עצמאים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_both,wage_work_mean",3770,271,כן,,xlsx
"שכר ממוצע לחודש עבודה של שכירים שהינם גם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי מועצה אזורית, 2022-2016",שכר ממוצע לחודש עבודה,מועצה אזורית,שכירים שהינם גם עצמאים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_both,wage_work_mean",756,54,לא,דחיסה לא נתמכת/פגום,unified_all.csv
"שכר ממוצע לחודש עבודה של שכירים שהינם גם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי מחוז ונפה, 2022-2016",שכר ממוצע לחודש עבודה,נפה/מחוז,שכירים שהינם גם עצמאים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_both,wage_work_mean",294,15,כן,,xlsx
